gene_id,WTCMA,WTCMB,WTCMC,WTCM1,WTCM2,WTCM3,WTMA,WTMC,WTM1,WTM2,WTM3,KOCMA,KOCMB,KOCMC,KOCM1,KOCM2,KOCM3,KOMA,KOMB,KOM1,KOM2
VNG_RS00010,6791,10742,12760,1520,2793,2496,9524,7274,4558,1945,13741,11984,9158,22396,1762,3248,2024,19380,6964,11396,1020
VNG_RS00015,2753,3726,5207,638,1078,813,3521,2619,1812,750,4537,4459,3671,8689,832,1325,840,6494,2550,4289,382
VNG_RS00020,3337,4221,5870,874,1555,1323,4346,3370,2638,1055,6634,5246,4216,10385,1019,1785,1107,7736,3352,5615,528
VNG_RS00025,7344,8908,8728,1615,2595,2123,5514,3751,3209,1320,8268,8559,7235,18894,1569,2083,1396,10505,3348,7294,509
VNG_RS00035,2271,3285,2822,487,725,787,2281,1361,1184,442,4293,3150,2940,7583,464,664,394,4882,1600,2245,215
VNG_RS00040,1814,2259,2263,318,415,472,1805,1149,523,218,2304,2596,2357,5807,272,342,292,3780,1106,1437,149
VNG_RS00045,3320,3777,3336,827,1050,933,2845,1973,1329,589,5504,3832,2472,5765,607,741,612,6110,1831,4193,332
VNG_RS00055,178,245,223,35,44,47,137,110,45,23,214,279,206,449,33,41,20,464,162,127,9
VNG_RS00060,283,454,462,71,66,110,324,325,100,77,672,545,290,499,60,110,90,737,328,429,62
VNG_RS00065,40,48,42,3,9,9,37,26,9,5,84,32,21,29,5,1,4,47,22,25,3
VNG_RS00070,17,25,10,3,7,6,10,6,3,5,50,14,12,19,5,11,2,12,15,13,2
VNG_RS00075,16,24,30,5,5,8,34,15,6,3,60,31,19,18,5,4,5,48,11,35,5
VNG_RS00080,8,9,7,0,3,0,15,3,5,4,15,9,13,12,0,3,4,9,3,3,1
VNG_RS00085,38,82,47,11,4,22,40,45,17,7,133,41,36,74,9,15,8,134,50,71,6
VNG_RS00090,21,29,48,8,7,16,40,10,8,7,86,37,29,37,7,9,11,62,22,46,14
VNG_RS00095,32,52,31,8,2,10,25,22,12,5,139,23,26,63,0,12,7,67,30,57,4
VNG_RS00100,142,176,178,16,26,22,213,133,62,19,231,188,125,216,10,31,18,434,161,119,13
VNG_RS00110,567,508,589,57,43,56,707,431,91,34,438,882,454,1441,35,51,51,2180,631,328,46
VNG_RS00115,550,699,780,149,138,210,974,633,427,174,1920,797,568,1021,116,187,166,1626,695,966,116
VNG_RS00120,1,4,5,1,2,1,2,2,0,0,14,7,1,4,2,0,0,8,1,3,1
VNG_RS00125,1185,1559,1582,267,389,486,1471,899,580,298,2864,1667,1202,2370,223,486,305,2698,1119,1578,198
VNG_RS00135,511,699,767,88,73,112,765,526,113,100,865,742,447,1225,39,143,114,1882,705,485,82
VNG_RS00140,394,524,565,56,58,85,720,465,139,74,1010,474,382,1010,36,87,58,1533,541,436,72
VNG_RS00145,314,577,412,62,65,103,585,330,164,78,973,470,311,607,43,86,50,942,355,428,45
VNG_RS00150,971,1178,1532,319,436,453,874,681,453,246,2138,1385,918,1829,329,616,276,1672,718,1286,171
VNG_RS00155,989,972,1258,248,265,342,777,598,280,188,1633,1198,808,1598,181,375,232,1540,668,871,160
VNG_RS00165,5857,6071,3993,1332,1215,1793,3610,2369,1311,681,7030,5146,4089,7728,766,1523,839,5949,2904,3052,490
VNG_RS00175,526,633,683,123,138,199,487,338,235,136,1107,600,483,864,104,203,129,826,368,574,69
VNG_RS00180,2353,3102,2921,575,655,990,2028,1392,824,418,4167,3042,2686,4708,473,1002,607,3962,1379,2590,352
VNG_RS00185,1368,1518,1490,234,268,269,1341,856,421,271,1765,1478,1156,2707,137,268,195,2820,1016,1055,126
VNG_RS00195,2505,2043,3930,503,545,482,1132,996,339,171,1228,3409,1966,3886,425,828,506,2002,986,875,217
VNG_RS00200,3,7,1,1,3,0,10,0,1,0,6,6,2,2,0,1,1,12,2,4,0
VNG_RS00205,13,18,17,6,7,6,7,4,3,1,24,11,13,33,1,7,3,17,9,14,3
VNG_RS00215,7,11,6,2,1,1,8,17,9,5,29,5,16,14,0,0,3,23,19,21,2
VNG_RS00220,656,588,790,108,159,142,338,284,117,53,305,704,466,944,103,146,118,667,233,263,34
VNG_RS00235,512,315,707,123,159,133,269,196,116,51,345,667,307,510,101,177,111,379,203,244,35
VNG_RS00240,668,643,772,188,179,190,605,362,201,88,830,668,445,727,107,169,110,1100,496,628,71
VNG_RS00245,0,0,1,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0
VNG_RS00250,1509,1359,1977,340,464,451,956,764,378,208,1526,1965,1202,2394,370,534,424,1696,735,1118,176
VNG_RS00255,1152,1595,1324,225,235,308,1094,768,389,197,1387,1453,1179,2575,144,291,201,1761,579,760,101
VNG_RS00260,1297,1894,1502,277,383,371,1064,768,449,258,1579,1537,1393,3595,241,393,313,1899,632,993,140
VNG_RS00265,115,317,202,36,45,85,267,185,96,77,742,175,210,393,28,66,40,542,254,318,37
VNG_RS00270,961,1163,1092,243,271,317,736,532,298,125,1183,1173,923,1558,155,311,178,1251,476,791,78
VNG_RS00275,438,560,474,62,87,110,621,427,163,87,844,521,389,1381,62,118,70,1625,540,626,78
VNG_RS00280,210,215,288,48,86,78,304,241,138,66,517,244,170,485,41,92,39,721,287,412,45
VNG_RS00285,67,66,76,22,19,19,100,52,54,21,179,62,48,98,12,41,12,222,72,140,6
VNG_RS00290,1158,1791,1909,296,335,485,1146,774,438,187,2321,2097,1518,2819,245,387,302,2673,1047,1153,151
VNG_RS00295,253,325,221,49,100,78,163,125,110,45,339,320,223,457,63,89,48,419,114,233,20
VNG_RS00300,229,224,216,28,33,42,184,131,51,16,182,269,160,341,31,37,28,278,124,94,17
VNG_RS00305,13,13,12,3,1,4,22,13,3,5,14,22,10,26,4,1,2,41,18,13,3
VNG_RS00310,161,258,166,35,40,57,152,111,49,27,263,212,180,409,19,29,23,343,105,171,17
VNG_RS00315,1927,2582,2976,482,733,769,1714,1316,792,439,3863,2573,2042,4115,462,802,497,3187,1254,2153,246
VNG_RS00320,435,707,661,140,136,215,392,369,162,79,775,701,536,915,98,149,108,773,235,441,45
VNG_RS00325,504,706,729,108,158,176,466,333,174,82,850,675,493,1141,106,184,99,809,309,544,53
VNG_RS00330,900,1365,1342,207,282,400,998,684,451,255,2162,1193,1121,2350,209,271,203,2144,716,1571,109
VNG_RS00345,1264,2805,1718,293,482,595,1800,1238,950,418,3215,1890,2286,6181,271,469,286,4879,1604,2668,141
VNG_RS00350,1187,2084,1269,208,332,443,1263,954,582,260,2320,1449,1717,4460,225,302,189,3440,1061,1692,128
VNG_RS00355,1912,2799,1966,191,313,375,1745,1425,437,246,1801,2238,2280,6053,160,287,169,5188,1436,1568,108
VNG_RS00360,400,909,486,63,95,159,207,176,66,51,347,533,748,2312,50,101,55,774,215,244,33
VNG_RS00365,2981,4423,3336,554,798,1016,2419,1642,852,498,4338,3728,3117,7601,433,879,550,5870,1843,2387,333
VNG_RS00370,4367,5248,6748,1077,1381,1491,3427,2573,1385,908,6429,6991,4972,13991,1087,1961,1165,10877,3240,6101,552
VNG_RS00375,7413,10545,11153,1951,2593,2798,10035,7051,4850,2408,23899,12858,9597,18772,1996,3079,2209,23010,8744,16605,1367
VNG_RS00380,1480,2355,2719,429,523,714,2328,1624,1015,512,5022,2680,1892,3761,413,840,448,5962,2080,3837,421
VNG_RS00385,875,1522,817,172,297,244,676,531,293,146,1151,1184,1144,3091,144,248,132,1750,610,848,74
VNG_RS00390,15869,21255,24071,3709,5253,5824,16193,11590,6261,3450,25050,23228,16987,35941,3114,5910,3586,34204,12018,20204,2029
