Instance	Condition	Strain	Media	Time	Media_t	Strain_t	Condition_t	Phase	Area	Circularity	Length	L_A	Expt
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1982.6309	0.55814624	92.16524	0.046486333	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3043.4844	0.7984348	78.89201	0.025921608	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3253.4766	0.5568454	118.26891	0.036351548	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1942.6562	0.96510655	54.598072	0.028104856	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1275.375	0.955205	48.063335	0.037685649	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	350.25	0.84273326	28.961685	0.082688608	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2050.0625	0.96423197	54.705307	0.026684702	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3697.9297	0.61332524	117.857216	0.031871135	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	6073.0625	0.30035412	238.43527	0.039261126	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1502.6758	0.9549657	44.215015	0.029424188	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2648.8281	0.89239174	68.40375	0.025824156	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2437.1875	0.76241887	82.85108	0.033994545	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3199.5938	0.87034947	68.95306	0.021550567	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1539.4375	0.962686	43.378487	0.028178141	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	302.19376	0.46651736	42.37222	0.140215404	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1530.4653	0.8166206	61.727234	0.040332332	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2904.125	0.58506006	110.21796	0.037952209	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1830.9707	0.95346475	51.926952	0.02836034	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3684.2773	0.46823597	142.52336	0.038684211	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3843.1875	0.69334745	87.32484	0.022721983	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	369.90625	0.92372197	24.94519	0.067436519	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2801.0234	0.6453957	103.89432	0.037091557	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2877.375	0.85486966	75.73099	0.026319472	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3497.8047	0.76494014	99.249916	0.028374916	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2940.75	0.88002247	79.00228	0.026864671	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2855.7656	0.5209133	116.0895	0.04065092	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	329.64453	0.91189235	24.827387	0.075315635	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2759.1562	0.88239473	63.697052	0.0230857	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3143.8125	0.55877286	118.46405	0.037681652	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	498.20312	0.80961895	35.010143	0.07027283	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2060.8125	0.7840904	74.27774	0.036042939	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	885.3281	0.9881959	35.83521	0.040476757	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1134.0625	0.93904173	44.986835	0.039668744	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3522.4922	0.77319044	87.19131	0.024752733	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2939.8125	0.87285376	81.11052	0.027590372	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2887.6719	0.5220486	116.84568	0.040463627	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	327.2129	0.92222464	24.835133	0.075899003	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2769.9062	0.890022	72.63087	0.026221419	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3158.1875	0.5562922	117.98179	0.037357437	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3279.8125	0.5919554	102.588615	0.031278805	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2299.8164	0.9274122	65.728294	0.028579801	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3031.0234	0.75206524	91.85818	0.030305995	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2693.2344	0.89199996	65.21269	0.024213522	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1818.6611	0.6768464	78.893135	0.043379789	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1777.4844	0.9253359	57.493416	0.032345384	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2100.5938	0.94245064	59.26256	0.028212289	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2385.1055	0.8304048	75.69162	0.031735125	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3290.877	0.69701403	78.01644	0.023706884	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3199.3984	0.7312596	87.72416	0.027418955	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3041.961	0.88804936	81.190155	0.026690071	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	4923.625	0.7492419	108.42045	0.022020452	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2785.8281	0.64892983	100.81507	0.036188547	Se1
