GeneName,Genbank_ID,Member_class,COG_ID,old_functional_class,functional_class,funclass_name,arCOG_ID,arcog_name
VNG1226H,15790286,NA,,NA,,NA,,NA
VNG5005H,10803550,NA,,NA,,NA,,NA
VNG5063H,10803710,NA,,NA,,NA,,NA
VNG6094H,16120056,NA,,NA,,NA,,NA
VNG1239H,15790296,NA,,NA,,NA,,NA
VNG5256H,10803723,NA,,NA,,NA,,NA
VNG6424H,16120303,NA,,NA,,NA,,NA
VNG6427H,16120304,NA,,NA,,NA,,NA
VNG5041H,10803580,NA,,NA,,NA,,NA
VNG0926H,15790053,NA,,NA,,NA,,NA
VNG5079H,10803604,NA,,NA,,NA,,NA
VNG5080H,10803605,NA,,NA,,NA,,NA
VNG6332H,16120238,NA,,NA,,NA,,NA
VNG6222H,16120158,NA,,NA,,NA,,NA
VNG1832H,15790736,NA,,NA,,NA,,NA
VNG0529H,15789750,NA,,NA,,NA,,NA
VNG2236H,15791054,NA,,NA,,NA,,NA
VNG5186H,10803675,NA,,NA,,NA,,NA
VNG1041H,15790146,NA,,NA,,NA,,NA
VNG6416H,16120298,NA,,NA,,NA,,NA
VNG2024H,15790884,NA,,NA,,NA,,NA
VNG5079H,10803699,NA,,NA,,NA,,NA
VNG6039H,16120012,NA,,NA,,NA,,NA
VNG2495H,15791256,NA,,NA,,NA,,NA
VNG0178H,15789489,NA,,NA,,NA,,NA
VNG6487H,16120350,NA,,NA,,NA,,NA
VNG0167H,15789480,NA,,NA,,NA,,NA
VNG2402H,15791189,NA,,NA,,NA,,NA
VNG6344H,16120246,NA,,NA,,NA,,NA
VNG0518H,15789743,NA,,NA,,NA,,NA
VNG6109H,16120066,NA,,NA,,NA,,NA
VNG1613H,15790572,NA,,NA,,NA,,NA
VNG0544H,15789763,NA,,NA,,NA,,NA
VNG0216H,15789519,NA,,NA,,NA,,NA
VNG0076H,15789408,NA,,NA,,NA,,NA
VNG0079H,15789410,NA,,NA,,NA,,NA
VNG6325H,16120232,NA,,NA,,NA,,NA
VNG1902H,15790791,NA,,NA,,NA,,NA
VNG2041H,15790896,NA,,NA,,NA,,NA
VNG1196H,15790264,NA,,NA,,NA,,NA
VNG1925H,15790809,NA,,NA,,NA,,NA
VNG6385H,16120277,NA,,NA,,NA,,NA
VNG0357H,15789619,NA,,NA,,NA,,NA
VNG0280H,15789563,NA,,NA,,NA,,NA
VNG0840H,15789989,NA,,NA,,NA,,NA
VNG0652H,15789846,NA,,NA,,NA,,NA
VNG6411H,16120295,NA,,NA,,NA,,NA
VNG2626H,15791357,NA,,NA,,NA,,NA
VNG1983H,15790851,NA,,NA,,NA,,NA
VNG6378H,16120272,NA,,NA,,NA,,NA
VNG6170H,16120116,NA,,NA,,NA,,NA
VNG6368H,16120265,NA,,NA,,NA,,NA
VNG2387H,15791177,NA,,NA,,NA,,NA
VNG0207H,15789511,NA,,NA,,NA,,NA
VNG0208H,15789512,NA,,NA,,NA,,NA
VNG0613H,15789817,NA,,NA,,NA,,NA
VNG2439H,15791216,NA,,NA,,NA,,NA
VNG2129H,15790964,NA,,NA,,NA,,NA
VNG6005H,16119982,NA,,NA,,NA,,NA
VNG2049C,15790903,NA,,NA,,NA,,NA
VNG2034H,15790891,NA,,NA,,NA,,NA
VNG2673H,15791393,NA,,NA,,NA,,NA
VNG1963H,15790838,NA,,NA,,NA,,NA
VNG6275H,16120193,NA,,NA,,NA,,NA
VNG2020C,15790881,1,COG1695,K,K,Transcription ,arCOG00002,"Predicted transcriptional regulator, PadR family"
VNG1786H,15790704,1,COG1695,K,K,Transcription ,arCOG00004,"Predicted transcriptional regulator, PadR family"
VNG5144H,10803649,1,COG1695,K,K,Transcription ,arCOG00005,"Predicted transcriptional regulator, PadR family"
VNG0751C,15789922,1,COG1695,K,K,Transcription ,arCOG00005,"Predicted transcriptional regulator, PadR family"
VNG6048H,16120019,1,COG1695,K,K,Transcription ,arCOG00005,"Predicted transcriptional regulator, PadR family"
VNG6126H,16120078,1,COG1695,K,K,Transcription ,arCOG00005,"Predicted transcriptional regulator, PadR family"
VNG6478H,16120343,1,COG1695,K,K,Transcription ,arCOG00005,"Predicted transcriptional regulator, PadR family"
VNG1426H,15790436,1,COG1695,K,K,Transcription ,arCOG00005,"Predicted transcriptional regulator, PadR family"
